X,Y,FID,Longitude,Latitude,Lake_Name,Peak_Stora,Elevation,Storage_Av,Upper_Lowe,SymbolID
-114.139275246916,34.2964290822449,1,-114.1392728,34.2964304,Lake Havasu,856600,451,573216.5,Lower, 
-114.569729964761,35.1960090699196,2,-114.5697323,35.1960056,Lake Mohave,1808400,646.95,1640061,Lower, 
-114.737732889197,36.0160859517399,3,-114.7377309,36.0160868,Lake Mead,29904000,1225.83,13717082,Lower, 
-111.484241542631,36.9374305672828,4,-111.4842427,36.937427,Lake Powell,25695200,3708.34,13573686,Upper, 
-107.610732986966,36.8026764290541,5,-107.610737,36.8026798,Navajo Reservoir,1731750,6087.25,1253561,Upper, 
-107.547042433322,37.3790072156925,6,-107.5470421,37.3790093,Vallecito Lake,126792,7665.5,74920.99,Upper, 
-108.57201118935,37.5771620582146,7,-108.572012,37.577159,McPhee Reservoir,383150,6924.46,263408.2,Upper, 
-107.75906280668,38.2367581492063,8,-107.7590669,38.2367582,Ridgway Reservoir,84912,6872.92,68293.68,Upper, 
-107.642191988216,38.5105387794182,9,-107.6421943,38.5105371,Crystal Reservoir,20097,6763.19,15433.69,Upper, 
-107.537879617424,38.4519049596398,10,-107.53788,38.4519021,Morrow Point Reservoir,120132,7163.79,110332,Upper, 
-107.334905278977,38.4533541510384,11,-107.334903,38.4533516,Blue Mesa Reservoir,831721,7519.64,550211.7,Upper, 
-106.605760729163,38.8183705148949,12,-106.605763,38.8183713,Taylor Park Reservoir,109340,9331.65,73703.91,Upper, 
-109.421610835611,40.9147742445847,13,-109.4216131,40.9147755,Flaming Gorge Reservoir,3913630,6043.8,3077311,Upper, 
-110.061408947267,42.0284895749254,14,-110.0614058,42.0284919,Fontenelle Reservoir,369018,6508.85,211701.8,Upper, 
-110.444549399097,40.1907953538969,15,-110.4445483,40.1907969,Starvation Reservoir,167785,5712.74,137500.2,Upper, 
-111.027160759765,40.1367406502116,16,-111.0271568,40.1367402,Strawberry Reservoir,1110170,7602.63,888856.2,Upper, 
-111.119839947628,39.7868770902021,17,-111.1198372,39.7868795,Scofield Reservoir,77195,7621.5,27859.92,Upper, 
-114.72958516957,32.7060522707617,18,-114.724163,32.70333052,Morelos Dam Diversion,0,0,0,Lower, 
-114.466765066895,32.8830946943046,19,-114.4669,32.8831,Imperial Diversion Dam,160000,0,0,Lower, 
-105.865944193774,40.1478242043042,20,-105.867,40.1416244,Granby Dam,539800,8504.49,390638.8,Upper, 
