X,Y,FID,Longitude,Latitude,Lake_Name,Peak_Stora,Elevation,Storage_Av,Upper_Lowe,SymbolID,Percentage,State
-105.865944193774,40.1478242043042,1,-105.867,40.1416244, ,0,8504.49,0,Upper, ,0,Colorado
-114.72958516957,32.7060522707617,2,-114.724163,32.70333052, ,0,0,0,Lower, ,0,California
-111.119839947628,39.7868770902021,3,-111.1198372,39.7868795, ,0,7621.5,0,Upper, ,0,Utah
-110.444549399097,40.1907953538969,4,-110.4445483,40.1907969, ,0,5712.74,0,Upper, ,0,Utah
-106.605760729163,38.8183705148949,5,-106.605763,38.8183713, ,0,9331.65,0,Upper, ,0,Colorado
-107.75906280668,38.2367581492063,6,-107.7590669,38.2367582, ,0,6872.92,0,Upper, ,0,Colorado
-107.547042433322,37.3790072156925,7,-107.5470421,37.3790093, ,0,7665.5,0,Upper, ,0,Colorado
-114.737732889197,36.0160859517399,8,-114.7377309,36.0160868,Lake Mead,29904000,1225.83,13717082,Lower, ,0.458703919208,Arizona
-111.484241542631,36.9374305672828,9,-111.4842427,36.937427,Lake Powell,25695200,3708.34,13573686,Upper, ,0.528257651234,Utah
-109.421610835611,40.9147742445847,10,-109.4216131,40.9147755,Flaming Gorge Reservoir,3913630,6043.8,3077311,Upper, ,0.78630606368,Utah
-114.569729964761,35.1960090699196,11,-114.5697323,35.1960056,Lake Mohave,1808400,646.95,1640061,Lower, ,0.906912740544,Arizona
-107.610732986966,36.8026764290541,12,-107.610737,36.8026798,Navajo Reservoir,1731750,6087.25,1253561,Upper, ,0.723869496174,New Mexico
-111.027160759765,40.1367406502116,13,-111.0271568,40.1367402,Strawberry Reservoir,1110170,7602.63,888856.2,Upper, ,0.800648729474,Utah
-114.139275246916,34.2964290822449,14,-114.1392728,34.2964304,Lake Havasu,856600,451,573216.5,Lower, ,0.66917639505,Arizona
-107.334905278977,38.4533541510384,15,-107.334903,38.4533516,Blue Mesa Reservoir,831721,7519.64,550211.7,Upper, ,0.661533975937,Colorado
-108.57201118935,37.5771620582146,16,-108.572012,37.577159,McPhee Reservoir,383150,6924.46,263408.2,Upper, ,0.687480621167,Colorado
-110.061408947267,42.0284895749254,17,-110.0614058,42.0284919,Fontenelle Reservoir,369018,6508.85,211701.8,Upper, ,0.573689630316,Wyoming
-114.466765066895,32.8830946943046,18,-114.4669,32.8831,Imperial Diversion Dam,160000,0,0,Lower, ,0,Arizona
-107.537879617424,38.4519049596398,19,-107.53788,38.4519021,Morrow Point Reservoir,120132,7163.79,110332,Upper, ,0.918423067959,Colorado
-107.642191988216,38.5105387794182,20,-107.6421943,38.5105371,Crystal Reservoir,20097,6763.19,15433.69,Upper, ,0.767959894512,Colorado
