FID,STATEFP,COUNTYFP,COUNTYNS,GEOID,State_Code,State_Name,County_Cod,County_Nam,Total_Popu,Shape__Area,Shape__Length
1,08,109,00198170,08109,8,Colorado,109,Saguache County,6108,3256219359.46094,310280.114457373
2,35,003,00929108,35003,35,New Mexico,3,Catron County,3725,17874278856.0273,812299.981159056
3,56,023,01605076,56023,56,Wyoming,23,"Lincoln County, WY",18106,9111559229.34375,735382.850125385
4,56,013,01605072,56013,56,Wyoming,13,"Fremont County, WY",40123,913273730.78125,512081.109356866
5,08,115,00198173,08115,8,Colorado,115,Sedgwick County,2379,651984033.625,128246.527376582
6,56,041,01605084,56041,56,Wyoming,41,Uinta County,21118,7315605036.50781,409828.518233533
7,32,003,00863600,32003,32,Nevada,3,Clark County,1951269,22683188505.7695,1061307.66298536
8,08,067,00198148,08067,8,Colorado,67,La Plata County,51334,6966607865.69141,371001.028148644
9,08,111,00198171,08111,8,Colorado,111,"San Juan County, CO",699,1467340568.46484,207316.073134339
10,49,013,01448021,49013,49,Utah,13,Duchesne County,18607,14488388534.6055,518765.947599994
11,08,097,00198164,08097,8,Colorado,97,Pitkin County,17148,4196135145.89844,355659.492649406
12,06,111,00277320,06111,6,California,111,Ventura County,823318,1296856719.375,147440.38403294
13,08,093,00198162,08093,8,Colorado,93,"Park County, CO",16206,3694402.7421875,70484.6031584426
14,06,037,00277283,06037,6,California,37,Los Angeles County,9818605,5498282142.51563,403882.876491194
15,04,027,00023901,04027,4,Arizona,27,"Yuma County, AZ",195751,18976527534.8047,706299.856298199
16,04,021,00025447,04021,4,Arizona,21,Pinal County,375826,19802560261.7578,716188.882377517
17,08,099,00198165,08099,8,Colorado,99,Prowers County,12551,919775747.367188,172979.879669732
18,08,081,00198156,08081,8,Colorado,81,Moffat County,13795,21378597680.5508,615436.363906685
19,08,059,00198145,08059,8,Colorado,59,"Jefferson County, CO",534543,989976256.230469,225189.10319811
20,08,117,00198174,08117,8,Colorado,117,"Summit County, CO",27994,2702864058.87109,321874.33149502
21,04,017,00042808,04017,4,Arizona,17,Navajo County,107449,38921018856.3672,1146846.30227888
22,06,073,00277301,06073,6,California,73,San Diego County,3095313,6038575427.63281,456152.997172487
23,08,101,00198166,08101,8,Colorado,101,Pueblo County,159063,1960369643.5625,296103.59791081
24,49,011,01448020,49011,49,Utah,11,Davis County,306479,164661161.09375,54746.6708491476
25,08,013,00198122,08013,8,Colorado,13,Boulder County,294567,1287836353.50391,254230.846164266
26,08,031,00198131,08031,8,Colorado,31,Denver County,600158,470694472.40625,268165.757762427
27,08,085,00198158,08085,8,Colorado,85,Montrose County,41276,9473395352.69922,544456.740098776
28,08,037,00198134,08037,8,Colorado,37,Eagle County,52197,7392382741.11328,389130.756928015
29,08,113,00198172,08113,8,Colorado,113,San Miguel County,7359,5384599733.55078,409162.439597759
30,08,015,00198123,08015,8,Colorado,15,Chaffee County,17809,633105500.832031,264636.934457784
31,08,025,00198128,08025,8,Colorado,25,Crowley County,5823,564018460.105469,129161.715592493
32,08,043,00198137,08043,8,Colorado,43,"Fremont County, CO",46824,1194084598.93359,279982.989374104
33,35,055,00933056,35055,35,New Mexico,55,Taos County,32937,563868361.199219,119789.352924393
34,32,023,00863599,32023,32,Nevada,23,Nye County,43946,3684989629.28125,318546.031014003
35,35,017,00915980,35017,35,New Mexico,17,Grant County,29514,9734128375.82813,617921.924307448
36,04,011,00042807,04011,4,Arizona,11,Greenlee County,8437,6854440729.94141,439776.012997316
37,04,013,00037026,04013,4,Arizona,13,Maricopa County,3817354,34277693818.5273,992090.264550783
38,35,043,00929113,35043,35,New Mexico,43,Sandoval County,131561,3431773593.71875,479106.296900136
39,04,019,00025446,04019,4,Arizona,19,Pima County,980263,23812109742.9648,1074134.05213914
40,35,006,00933051,35006,35,New Mexico,6,Cibola County,27213,5580934992.625,402122.380669663
41,08,029,00198130,08029,8,Colorado,29,Delta County,30952,4913548287.21875,340015.070618851
42,08,045,00198138,08045,8,Colorado,45,"Garfield County, CO",56389,12911081554.5313,662380.046824796
43,56,037,01609192,56037,56,Wyoming,37,Sweetwater County,43806,48559871802.9375,968487.052452864
44,32,033,00858615,32033,32,Nevada,33,White Pine County,10030,3207669247.38672,274021.693747944
45,08,103,00198167,08103,8,Colorado,103,Rio Blanco County,6666,14232867249.2852,615863.667095166
46,08,087,00198159,08087,8,Colorado,87,"Morgan County, CO",28159,1779669852.8125,211594.609718888
47,56,007,01605069,56007,56,Wyoming,7,"Carbon County, WY",15885,10755647800.4219,810655.662671308
48,04,003,00025442,04003,4,Arizona,3,Cochise County,131346,16758856593.3672,732077.997581853
49,35,023,00929106,35023,35,New Mexico,23,Hidalgo County,4894,7297410004.42969,501153.424609247
50,06,071,00277300,06071,6,California,71,San Bernardino County,2035210,9493222289.01953,743890.717898128
51,08,083,00198157,08083,8,Colorado,83,Montezuma County,25535,8372827721.05859,400009.056014819
52,49,025,01448026,49025,49,Utah,25,Kane County,7125,16157184681.7422,781411.431483087
53,08,001,00198116,08001,8,Colorado,1,Adams County,441603,849325214.746094,178017.145025776
54,35,053,01702371,35053,35,New Mexico,53,Socorro County,17866,2978969153.22266,362711.781029759
55,35,028,01702366,35028,35,New Mexico,28,Los Alamos County,17950,56651067.3515625,35385.3077109275
56,08,079,00198155,08079,8,Colorado,79,"Mineral County, CO",712,903858041.617188,198594.323484347
57,04,005,00025443,04005,4,Arizona,5,Coconino County,134421,73715459769.7656,1567003.40660673
58,08,089,00198160,08089,8,Colorado,89,"Otero County, CO",18831,1373915187.36328,197842.212600673
59,49,035,01448031,49035,49,Utah,35,Salt Lake County,1029655,1483254304.57422,166611.277167484
60,49,041,01448034,49041,49,Utah,41,Sevier County,20802,2401516876.75781,279941.155654012
61,49,017,01448023,49017,49,Utah,17,"Garfield County, UT",5172,15425256011.8438,763103.324030854
62,08,091,00198161,08091,8,Colorado,91,Ouray County,4436,2274816288.23047,272615.621705298
63,49,053,01448040,49053,49,Utah,53,"Washington County, UT",138115,8907212158.83203,479784.521622386
64,08,011,00198121,08011,8,Colorado,11,Bent County,6499,1128417974.86328,185070.04360216
65,08,007,00198119,08007,8,Colorado,7,Archuleta County,12084,5262914524.05469,317468.368539453
66,06,065,00277297,06065,6,California,65,Riverside County,2189641,10356124953.1406,1051858.00164802
67,08,107,00198169,08107,8,Colorado,107,Routt County,23509,10607089521.5938,526014.344750552
68,08,053,00198142,08053,8,Colorado,53,Hinsdale County,843,3333783663.14844,395045.120560437
69,49,031,01448029,49031,49,Utah,31,Piute County,1556,134433725.183594,118340.652959335
70,49,043,01448035,49043,49,Utah,43,"Summit County, UT",36324,2277501209.76563,286006.165140451
71,04,007,00040471,04007,4,Arizona,7,Gila County,53597,18033449086.8086,1032960.87358825
72,04,009,00025444,04009,4,Arizona,9,Graham County,37220,17111323768.0742,667694.186057077
73,08,123,00198177,08123,8,Colorado,123,Weld County,252825,4782062002.55078,395391.551140231
74,56,021,01605075,56021,56,Wyoming,21,Laramie County,91738,1205942451.85547,128204.934681207
75,35,045,00936844,35045,35,New Mexico,45,"San Juan County, NM",130044,22248275343.6953,641534.6470789
76,49,015,01448022,49015,49,Utah,15,Emery County,10976,19203140557.8594,789526.93098362
77,08,069,00198150,08069,8,Colorado,69,Larimer County,299630,2165718996.64844,289537.922346046
78,08,065,00198149,08065,8,Colorado,65,"Lake County, CO",7310,13857383.5625,51063.890214611
79,49,009,01448019,49009,49,Utah,9,Daggett County,1059,3268811344.71094,359440.934988654
80,08,105,00198168,08105,8,Colorado,105,Rio Grande County,11982,29681970.7148438,22876.653815082
81,35,029,00933057,35029,35,New Mexico,29,Luna County,25095,97850256.328125,71894.797848375
82,35,031,00929107,35031,35,New Mexico,31,McKinley County,71492,15277455198.0117,638899.574113421
83,35,039,01702368,35039,35,New Mexico,39,Rio Arriba County,40246,8687912448.39063,578951.282095987
84,04,015,00025445,04015,4,Arizona,15,Mohave County,200209,52998358493.582,1335562.1567887
85,04,025,00042809,04025,4,Arizona,25,Yavapai County,211033,31146018956.3203,899620.451512709
86,08,047,00198139,08047,8,Colorado,47,Gilpin County,5441,582545.13671875,16910.9397486708
87,32,017,00863992,32017,32,Nevada,17,"Lincoln County, NV",5345,20930200775.2969,1267586.73330539
88,04,012,00043540,04012,4,Arizona,12,La Paz County,20489,16946237195.6016,707065.074383498
89,49,047,01448037,49047,49,Utah,47,Uintah County,32588,19976380535.8711,707222.896260199
90,49,049,01448038,49049,49,Utah,49,Utah County,516564,1427435011.05859,412968.514828188
91,08,057,00198144,08057,8,Colorado,57,Jackson County,1394,14488868.9804688,287277.551506109
92,49,055,01448041,49055,49,Utah,55,Wayne County,2778,10397536607.043,568485.133195431
93,08,019,00198125,08019,8,Colorado,19,Clear Creek County,9088,5206634.640625,106858.131382821
94,08,075,00198153,08075,8,Colorado,75,Logan County,22709,1967704484.41406,259561.072108188
95,35,049,00933322,35049,35,New Mexico,49,Santa Fe County,144170,838182457.429688,227523.426567648
96,06,059,00277294,06059,6,California,59,Orange County,3010232,3006808693.96875,246663.086173417
97,04,023,00040472,04023,4,Arizona,23,"Santa Cruz County, AZ",47420,4426663151.66016,297987.558950855
98,06,025,00277277,06025,6,California,25,Imperial County,174528,9763942314.36719,1309140.18647842
99,04,001,00025441,04001,4,Arizona,1,Apache County,71518,43841251921.7617,1216526.34022697
100,08,121,00198176,08121,8,Colorado,121,"Washington County, CO",4814,211518208.199219,69598.0042668234
101,49,007,01448018,49007,49,Utah,7,"Carbon County, UT",21403,6488728980.33203,435553.030022147
102,35,001,01702363,35001,35,New Mexico,1,Bernalillo County,662564,1098027191.44531,146199.270972037
103,49,021,01448025,49021,49,Utah,21,Iron County,46163,504022706.671875,213403.70821477
104,49,039,01448033,49039,49,Utah,39,Sanpete County,27822,1456903376.33594,303594.322986211
105,08,035,00198133,08035,8,Colorado,35,"Douglas County, CO",285465,960954190.847656,145134.4180799
106,08,021,00198126,08021,8,Colorado,21,Conejos County,8256,45082676.1289063,58928.4422035504
107,49,037,01448032,49037,49,Utah,37,"San Juan County, UT",14746,32814288761.1563,1062939.31195037
108,56,039,01605083,56039,56,Wyoming,39,Teton County,21294,50382203.21875,41521.047259181
109,08,041,00198135,08041,8,Colorado,41,El Paso County,622263,1260991187.67969,187353.369868926
110,49,051,01448039,49051,49,Utah,51,Wasatch County,23530,3095316907.89844,342069.039167478
111,08,051,00198141,08051,8,Colorado,51,Gunnison County,15324,13862731292.7773,665259.301069765
112,35,051,01702370,35051,35,New Mexico,51,"Sierra County, NM",11988,1573094257.73438,255256.114639601
113,08,077,00198154,08077,8,Colorado,77,Mesa County,146723,14355754234.0703,614897.950844284
114,08,033,00198132,08033,8,Colorado,33,Dolores County,2064,4433037486.93359,377983.233676489
115,08,005,00198118,08005,8,Colorado,5,Arapahoe County,572003,429258754.378906,189039.725982446
116,56,035,01605082,56035,56,Wyoming,35,Sublette County,10247,21349634169.8594,769896.67631861
117,49,019,01448024,49019,49,Utah,19,"Grand County, UT",9225,15817191178.2383,661747.69618769
118,35,061,00933052,35061,35,New Mexico,61,Valencia County,76569,1522393270.625,162160.272956154
119,08,049,00198140,08049,8,Colorado,49,"Grand County, CO",14843,8269129928.67578,513443.889255948
